model_name,threshold,single_evaluation_metric,train_distribution,test_distribution,train_win_rate,test_win_rate
V1,"[0, 0.45, 1]",3.025091685174937,"[37.34939759036144, 62.65060240963856]","[40.75949367088608, 59.24050632911393]","[70.28862478777589, 69.83805668016194]","[74.53416149068323, 68.80341880341881]"
V1,"[0, 0.5, 1]",2.715454005367743,"[39.12492073557387, 60.87507926442613]","[41.77215189873418, 58.22784810126582]","[70.17828200972447, 69.89583333333333]","[74.54545454545455, 68.69565217391305]"
V1,"[0, 0.55, 1]",2.9529549629904643,"[41.217501585288524, 58.78249841471148]","[44.303797468354425, 55.69620253164557]","[70.61538461538461, 69.57928802588997]","[74.85714285714286, 68.18181818181817]"
V1,"[0, 0.6, 1]",3.749281224997299,"[43.119847812301835, 56.880152187698165]","[47.34177215189874, 52.65822784810127]","[70.88235294117648, 69.3422519509476]","[75.40106951871658, 67.3076923076923]"
V1,"[0, 0.65, 1]",3.7754688287993172,"[45.14901712111604, 54.85098287888396]","[49.11392405063291, 50.8860759493671]","[71.06741573033707, 69.13294797687861]","[75.77319587628865, 66.66666666666666]"
V1,"[0, 0.7, 1]",3.5717927485962306,"[47.05136334812936, 52.94863665187064]","[50.37974683544304, 49.62025316455696]","[71.02425876010781, 69.10179640718563]","[75.87939698492463, 66.3265306122449]"
V1,"[0, 0.75, 1]",2.5159816869395115,"[49.33417882054534, 50.66582117945466]","[52.151898734177216, 47.848101265822784]","[71.0796915167095, 68.96120150187734]","[74.27184466019418, 67.72486772486772]"
V1,"[0, 0.8, 1]",2.721067745935869,"[51.363348129359544, 48.636651870640456]","[54.936708860759495, 45.063291139240505]","[70.98765432098766, 68.97001303780965]","[73.73271889400922, 67.97752808988764]"
V1,"[0, 0.85, 1]",3.1817699573885285,"[54.914394419784394, 45.0856055802156]","[59.24050632911393, 40.75949367088608]","[70.78521939953811, 69.05766526019691]","[73.50427350427351, 67.70186335403726]"
V1,"[0, 0.9, 1]",2.814942385853449,"[60.68484464172479, 39.315155358275206]","[65.31645569620254, 34.68354430379747]","[70.74190177638454, 68.87096774193549]","[72.48062015503875, 68.61313868613139]"
V2,"[0, 0.45, 1]",1.9554178213396796,"[53.963221306277745, 46.036778693722255]","[51.64556962025316, 48.35443037974684]","[67.21504112808461, 73.27823691460054]","[66.66666666666666, 75.91623036649214]"
V2,"[0, 0.5, 1]",2.313638704035734,"[54.914394419784394, 45.0856055802156]","[52.151898734177216, 47.848101265822784]","[67.32101616628175, 73.27707454289732]","[66.50485436893204, 76.19047619047619]"
V2,"[0, 0.55, 1]",2.697198941197115,"[56.62650602409639, 43.373493975903614]","[52.911392405063296, 47.08860759493671]","[67.63717805151175, 73.09941520467837]","[66.98564593301435, 75.80645161290323]"
V2,"[0, 0.6, 1]",2.319611082566748,"[57.89473684210527, 42.10526315789473]","[54.43037974683544, 45.56962025316456]","[67.57940854326397, 73.3433734939759]","[67.44186046511628, 75.55555555555556]"
V2,"[0, 0.65, 1]",2.404334411733453,"[58.845909955611916, 41.154090044388084]","[55.69620253164557, 44.303797468354425]","[67.78017241379311, 73.18952234206472]","[67.27272727272727, 76.0]"
V2,"[0, 0.7, 1]",3.043835237202307,"[60.5580215599239, 39.44197844007609]","[56.45569620253165, 43.54430379746835]","[68.06282722513089, 72.9903536977492]","[67.2645739910314, 76.16279069767442]"
V2,"[0, 0.75, 1]",3.5473406142428967,"[62.84083703233989, 37.159162967660116]","[58.22784810126582, 41.77215189873418]","[68.51664984863774, 72.52559726962457]","[67.3913043478261, 76.36363636363637]"
V2,"[0, 0.8, 1]",3.5675396202996907,"[65.50412175015853, 34.495878249841475]","[61.26582278481013, 38.734177215189874]","[68.6350435624395, 72.61029411764706]","[67.35537190082644, 77.12418300653596]"
V2,"[0, 0.85, 1]",1.3506090840131222,"[69.94292961318959, 30.0570703868104]","[68.60759493670886, 31.39240506329114]","[68.44968268359021, 73.62869198312237]","[69.00369003690037, 75.80645161290323]"
V2,"[0, 0.9, 1]",2.3892288891567466,"[74.38173747622068, 25.61826252377933]","[72.40506329113924, 27.59493670886076]","[68.37169650468883, 74.75247524752476]","[67.83216783216784, 79.81651376146789]"
V3,"[0, 0.45, 1]",2.0225332917969725,"[81.16677235256817, 18.833227647431833]","[81.77215189873418, 18.227848101265824]","[69.453125, 72.39057239057239]","[69.3498452012384, 79.16666666666666]"
V3,"[0, 0.5, 1]",2.087584020189405,"[83.19594166138236, 16.80405833861763]","[84.30379746835443, 15.69620253164557]","[69.35975609756098, 73.20754716981132]","[69.66966966966966, 79.03225806451613]"
V3,"[0, 0.55, 1]",1.1132645791882783,"[86.42993024730501, 13.570069752694991]","[86.32911392405063, 13.670886075949367]","[69.62582538517975, 72.42990654205607]","[70.38123167155426, 75.92592592592592]"
V3,"[0, 0.6, 1]",1.4625784278832183,"[88.64933417882055, 11.350665821179454]","[88.60759493670885, 11.39240506329114]","[69.67095851216023, 72.62569832402235]","[70.28571428571428, 77.77777777777779]"
V3,"[0, 0.65, 1]",0.620399481064895,"[90.29803424223208, 9.701965757767914]","[90.12658227848101, 9.873417721518987]","[69.45224719101124, 75.16339869281046]","[70.78651685393258, 74.35897435897436]"
V3,"[0, 0.7, 1]",0.8213230350736858,"[91.75649968294229, 8.243500317057704]","[90.88607594936708, 9.113924050632912]","[69.5922598479613, 74.61538461538461]","[70.75208913649024, 75.0]"
V3,"[0, 0.75, 1]",1.3688123850440006,"[92.89790741915029, 7.102092580849714]","[92.15189873417722, 7.848101265822785]","[69.48805460750853, 76.78571428571429]","[70.87912087912088, 74.19354838709677]"
V3,"[0, 0.8, 1]",2.2749937525774255,"[95.3709575142676, 4.629042485732404]","[94.9367088607595, 5.063291139240507]","[69.68085106382979, 76.71232876712328]","[71.2, 70.0]"
V3,"[0, 0.85, 1]",0.5120786201285045,"[96.00507292327204, 3.9949270767279645]","[95.69620253164557, 4.30379746835443]","[69.74900924702774, 76.19047619047619]","[70.8994708994709, 76.47058823529412]"
V3,"[0, 0.9, 1]",1.2907852769397543,"[96.51236525047558, 3.487634749524413]","[96.45569620253166, 3.5443037974683547]","[69.84231274638634, 74.54545454545455]","[70.86614173228347, 78.57142857142857]"
V4,"[0, 0.45, 1]",1.8840445827994716,"[16.930881420418515, 83.06911857958148]","[15.69620253164557, 84.30379746835443]","[62.92134831460674, 71.45038167938931]","[59.67741935483871, 73.27327327327328]"
V4,"[0, 0.5, 1]",1.583818234577027,"[19.403931515535827, 80.59606848446417]","[17.468354430379744, 82.53164556962025]","[62.091503267973856, 71.91188040912667]","[63.76811594202898, 72.69938650306749]"
V4,"[0, 0.55, 1]",1.675343427079576,"[22.57450856055802, 77.42549143944197]","[20.0, 80.0]","[64.04494382022472, 71.74447174447175]","[64.55696202531645, 72.78481012658227]"
V4,"[0, 0.6, 1]",1.8819374345306734,"[26.12555485098288, 73.87444514901712]","[23.037974683544306, 76.9620253164557]","[65.77669902912622, 71.50214592274679]","[65.93406593406593, 72.69736842105263]"
V4,"[0, 0.65, 1]",1.9399242764620404,"[32.27647431832594, 67.72352568167406]","[29.367088607594937, 70.63291139240506]","[67.58349705304518, 71.16104868913857]","[67.24137931034483, 72.75985663082437]"
V4,"[0, 0.7, 1]",1.6402797831842726,"[44.324667089410276, 55.675332910589724]","[45.063291139240505, 54.936708860759495]","[68.52646638054364, 71.18451025056947]","[72.47191011235955, 70.04608294930875]"
V4,"[0, 0.75, 1]",0.7923551161841402,"[49.65123652504756, 50.34876347495244]","[49.36708860759494, 50.63291139240506]","[69.34865900383141, 70.65491183879094]","[71.7948717948718, 70.5]"
V4,"[0, 0.8, 1]",1.317681764806606,"[52.50475586556753, 47.49524413443247]","[51.392405063291136, 48.60759493670886]","[69.32367149758454, 70.76101468624833]","[71.92118226600985, 70.3125]"
V4,"[0, 0.85, 1]",1.2068202484575998,"[54.59733671528218, 45.40266328471782]","[53.92405063291139, 46.07594936708861]","[69.57026713124273, 70.53072625698324]","[72.30046948356808, 69.78021978021978]"
V4,"[0, 0.9, 1]",1.87974880134972,"[59.606848446417246, 40.393151553582754]","[59.74683544303797, 40.25316455696203]","[69.68085106382979, 70.48665620094191]","[73.72881355932203, 67.29559748427673]"
V5,"[0, 0.45, 1]",2.126488258713687,"[49.65123652504756, 50.34876347495244]","[52.40506329113924, 47.59493670886076]","[63.85696040868455, 76.0705289672544]","[64.73429951690821, 78.19148936170212]"
V5,"[0, 0.5, 1]",1.5562178680125136,"[50.66582117945466, 49.33417882054534]","[52.40506329113924, 47.59493670886076]","[63.829787234042556, 76.34961439588689]","[64.73429951690821, 78.19148936170212]"
V5,"[0, 0.55, 1]",1.5267645376464216,"[51.23652504755866, 48.76347495244134]","[52.911392405063296, 47.08860759493671]","[63.73762376237624, 76.59297789336802]","[64.5933014354067, 78.49462365591397]"
V5,"[0, 0.6, 1]",1.9163464456518362,"[52.06087507926442, 47.93912492073558]","[54.43037974683544, 45.56962025316456]","[64.06820950060902, 76.45502645502646]","[65.11627906976744, 78.33333333333333]"
V5,"[0, 0.65, 1]",2.5023082954703053,"[52.63157894736842, 47.368421052631575]","[55.949367088607595, 44.050632911392405]","[64.33734939759036, 76.30522088353415]","[64.70588235294117, 79.3103448275862]"
V5,"[0, 0.7, 1]",1.9669328636500651,"[53.83639822447685, 46.16360177552315]","[56.20253164556962, 43.79746835443038]","[64.54652532391049, 76.37362637362637]","[64.86486486486487, 79.1907514450867]"
V5,"[0, 0.75, 1]",1.5968070198502833,"[55.23145212428662, 44.76854787571338]","[56.9620253164557, 43.037974683544306]","[64.17910447761194, 77.19546742209631]","[64.88888888888889, 79.41176470588235]"
V5,"[0, 0.8, 1]",1.305263907717931,"[56.24603677869372, 43.75396322130628]","[57.46835443037974, 42.53164556962025]","[64.4870349492672, 77.10144927536233]","[65.19823788546255, 79.16666666666666]"
V5,"[0, 0.85, 1]",0.6701760671839914,"[58.08497146480659, 41.91502853519341]","[58.22784810126582, 41.77215189873418]","[64.73799126637554, 77.3071104387292]","[65.65217391304347, 78.78787878787878]"
V5,"[0, 0.9, 1]",1.0861968632970704,"[63.79201014584655, 36.20798985415345]","[64.55696202531645, 35.44303797468354]","[65.90457256461232, 77.23292469352015]","[66.66666666666666, 79.28571428571428]"
V6,"[0, 0.45, 1]",9.844433841234014,"[2.029169308814204, 97.9708306911858]","[1.7721518987341773, 98.22784810126582]","[65.625, 70.09708737864078]","[28.57142857142857, 71.90721649484536]"
V6,"[0, 0.5, 1]",3.9380049814593625,"[2.4730500951173116, 97.52694990488268]","[2.5316455696202533, 97.46835443037975]","[64.1025641025641, 70.15604681404422]","[50.0, 71.68831168831169]"
V6,"[0, 0.55, 1]",6.8317838072824,"[2.8535193405199744, 97.14648065948003]","[3.0379746835443036, 96.9620253164557]","[66.66666666666666, 70.10443864229765]","[41.66666666666667, 72.0626631853786]"
V6,"[0, 0.6, 1]",5.784495593947974,"[3.2339885859226376, 96.76601141407735]","[3.5443037974683547, 96.45569620253166]","[70.58823529411765, 69.98689384010484]","[50.0, 71.91601049868767]"
V6,"[0, 0.65, 1]",5.424155909883291,"[3.6778693722257447, 96.32213062777424]","[4.050632911392405, 95.9493670886076]","[68.96551724137932, 70.04608294930875]","[50.0, 72.0316622691293]"
V6,"[0, 0.7, 1]",3.6180089159903406,"[4.058338617628408, 95.94166138237159]","[5.5696202531645564, 94.43037974683544]","[68.75, 70.05948446794447]","[59.09090909090909, 71.84986595174263]"
V6,"[0, 0.75, 1]",4.302024060606457,"[4.502219403931516, 95.49778059606848]","[6.582278481012659, 93.41772151898734]","[64.7887323943662, 70.2523240371846]","[53.84615384615385, 72.35772357723577]"
V6,"[0, 0.8, 1]",3.411144172920459,"[5.833861762840837, 94.16613823715916]","[6.8354430379746836, 93.16455696202532]","[65.21739130434783, 70.3030303030303]","[55.55555555555556, 72.28260869565217]"
V6,"[0, 0.85, 1]",2.5019437636365764,"[11.92136968928345, 88.07863031071655]","[12.658227848101266, 87.34177215189874]","[72.3404255319149, 69.69042476601872]","[66.0, 71.8840579710145]"
V6,"[0, 0.9, 1]",2.1760580784703922,"[14.648065948002536, 85.35193405199747]","[13.924050632911392, 86.07594936708861]","[70.56277056277057, 69.9108469539376]","[65.45454545454545, 72.05882352941177]"
V7,"[0, 0.45, 1]",2.7017936155994544,"[38.23715916296766, 61.76284083703234]","[38.734177215189874, 61.26582278481013]","[69.32006633499171, 70.4312114989733]","[76.47058823529412, 67.76859504132231]"
V7,"[0, 0.5, 1]",1.1808525943170292,"[54.15345592897908, 45.84654407102093]","[54.936708860759495, 45.063291139240505]","[67.91569086651053, 72.47579529737206]","[70.50691244239631, 71.91011235955057]"
V7,"[0, 0.55, 1]",1.447211044536564,"[64.29930247305009, 35.7006975269499]","[66.07594936708861, 33.92405063291139]","[67.85009861932939, 73.8898756660746]","[69.34865900383141, 74.6268656716418]"
V7,"[0, 0.6, 1]",1.7904268209483964,"[69.05516804058338, 30.944831959416614]","[70.63291139240506, 29.367088607594937]","[67.95224977043158, 74.59016393442623]","[68.10035842293907, 78.44827586206897]"
V7,"[0, 0.65, 1]",2.0366481995302346,"[71.33798351299937, 28.662016487000635]","[73.67088607594937, 26.329113924050635]","[67.91111111111111, 75.22123893805309]","[68.72852233676976, 77.88461538461539]"
V7,"[0, 0.7, 1]",2.0898782468623622,"[73.5573874445149, 26.442612555485102]","[75.44303797468355, 24.556962025316455]","[68.1896551724138, 75.0599520383693]","[68.45637583892618, 79.38144329896907]"
V7,"[0, 0.75, 1]",1.3571647741357582,"[75.26949904882689, 24.730500951173113]","[76.45569620253164, 23.544303797468356]","[67.9022746419545, 76.41025641025641]","[68.87417218543047, 78.49462365591397]"
V7,"[0, 0.8, 1]",0.7252853848188661,"[79.51807228915662, 20.481927710843372]","[79.49367088607595, 20.506329113924053]","[68.50079744816587, 75.85139318885449]","[69.42675159235668, 77.77777777777779]"
V7,"[0, 0.85, 1]",1.1450634445006607,"[81.80088776157261, 18.199112238427396]","[82.78481012658227, 17.21518987341772]","[68.68217054263566, 75.9581881533101]","[70.33639143730886, 75.0]"
V7,"[0, 0.9, 1]",2.133534323737816,"[84.21052631578947, 15.789473684210526]","[84.81012658227847, 15.18987341772152]","[68.75, 76.70682730923694]","[71.04477611940298, 71.66666666666667]"
V8,"[0, 0.45, 1]",2.0274780126497376,"[35.44705136334813, 64.55294863665188]","[38.22784810126582, 61.77215189873417]","[66.90518783542039, 71.70923379174853]","[68.21192052980133, 72.95081967213115]"
V8,"[0, 0.5, 1]",1.9493047592302233,"[37.79327837666455, 62.20672162333545]","[40.50632911392405, 59.49367088607595]","[66.77852348993288, 71.96738022426096]","[67.5, 73.61702127659574]"
V8,"[0, 0.55, 1]",1.8435395335342424,"[39.44197844007609, 60.5580215599239]","[42.025316455696206, 57.974683544303794]","[66.88102893890675, 72.04188481675394]","[66.86746987951807, 74.235807860262]"
V8,"[0, 0.6, 1]",1.6226397386807339,"[40.393151553582754, 59.606848446417246]","[42.53164556962025, 57.46835443037974]","[66.56200941915228, 72.3404255319149]","[66.66666666666666, 74.44933920704845]"
V8,"[0, 0.65, 1]",1.345339436805066,"[41.217501585288524, 58.78249841471148]","[42.78481012658228, 57.21518987341773]","[66.46153846153847, 72.49190938511327]","[66.86390532544378, 74.33628318584071]"
V8,"[0, 0.7, 1]",1.147944227475426,"[42.92961318960051, 57.0703868103995]","[44.050632911392405, 55.949367088607595]","[66.32200886262925, 72.77777777777777]","[67.24137931034483, 74.2081447963801]"
V8,"[0, 0.75, 1]",1.1436866248693338,"[44.19784400760938, 55.80215599239061]","[45.31645569620253, 54.68354430379747]","[66.28407460545193, 72.95454545454545]","[67.0391061452514, 74.53703703703704]"
V8,"[0, 0.8, 1]",0.6456019158423452,"[46.35383639822448, 53.64616360177552]","[46.32911392405064, 53.67088607594936]","[66.89466484268127, 72.69503546099291]","[66.66666666666666, 75.0]"
V8,"[0, 0.85, 1]",1.0969674699001786,"[52.44134432466709, 47.558655675332915]","[53.417721518987335, 46.58227848101266]","[68.19830713422007, 72.0]","[68.72037914691943, 73.91304347826086]"
V8,"[0, 0.9, 1]",0.8057797620451055,"[56.119213696892835, 43.880786303107165]","[56.45569620253165, 43.54430379746835]","[68.8135593220339, 71.53179190751445]","[69.05829596412556, 73.83720930232558]"
V9,"[0, 0.45, 1]",4.632002440823857,"[59.98731769181991, 40.01268230818009]","[62.53164556962025, 37.46835443037975]","[71.67019027484145, 67.51188589540412]","[77.7327935222672, 60.13513513513513]"
V9,"[0, 0.5, 1]",3.5797580375230726,"[64.93341788205453, 35.066582117945465]","[67.84810126582278, 32.151898734177216]","[72.4609375, 65.46112115732369]","[76.11940298507463, 60.629921259842526]"
V9,"[0, 0.55, 1]",4.138178123724122,"[68.73811033608118, 31.261889663918836]","[71.39240506329114, 28.607594936708864]","[71.6789667896679, 66.32860040567951]","[75.88652482269504, 59.29203539823009]"
V9,"[0, 0.6, 1]",3.265674541073654,"[72.09892200380469, 27.901077996195305]","[74.68354430379746, 25.31645569620253]","[71.59190853122251, 65.9090909090909]","[74.57627118644068, 61.0]"
V9,"[0, 0.65, 1]",3.9058011337780165,"[76.53772986683578, 23.462270133164235]","[78.9873417721519, 21.012658227848103]","[71.08533554266778, 66.48648648648648]","[74.35897435897436, 59.036144578313255]"
V9,"[0, 0.7, 1]",2.9824738755216806,"[93.15155358275206, 6.8484464172479385]","[92.65822784810128, 7.341772151898734]","[69.16269571136829, 81.48148148148148]","[71.03825136612022, 72.41379310344827]"
V9,"[0, 0.75, 1]",0.8787664283536902,"[95.30754597336716, 4.692454026632848]","[95.69620253164557, 4.30379746835443]","[69.32801064537591, 83.78378378378379]","[70.63492063492063, 82.35294117647058]"
V9,"[0, 0.8, 1]",1.0671483644274726,"[96.13189600507293, 3.868103994927077]","[96.20253164556962, 3.79746835443038]","[69.45910290237467, 83.60655737704919]","[70.52631578947368, 86.66666666666667]"
V9,"[0, 0.85, 1]",1.369560959796538,"[96.9562460367787, 3.0437539632213064]","[96.9620253164557, 3.0379746835443036]","[69.45716154349248, 87.5]","[70.75718015665797, 83.33333333333334]"
V9,"[0, 0.9, 1]",0.28322483805976617,"[100.0, 0]","[100.0, 0]","[70.00634115409005, 0]","[71.13924050632912, 0]"
V10,"[0, 0.45, 1]",3.471410748374723,"[9.95561192136969, 90.0443880786303]","[11.139240506329113, 88.86075949367088]","[68.15286624203821, 70.2112676056338]","[79.54545454545455, 70.08547008547008]"
V10,"[0, 0.5, 1]",3.499835021387185,"[12.872542802790107, 87.12745719720989]","[13.164556962025317, 86.83544303797468]","[67.98029556650246, 70.3056768558952]","[80.76923076923077, 69.67930029154519]"
V10,"[0, 0.55, 1]",4.141410908501115,"[24.47685478757134, 75.52314521242866]","[22.531645569620252, 77.46835443037975]","[69.94818652849742, 70.02518891687657]","[80.89887640449437, 68.30065359477125]"
V10,"[0, 0.6, 1]",1.9510516857543825,"[92.96131896005073, 7.038681039949271]","[94.17721518987342, 5.822784810126582]","[69.71350613915416, 73.87387387387388]","[70.6989247311828, 78.26086956521739]"
V10,"[0, 0.65, 1]",1.185775030061753,"[94.61001902346227, 5.389980976537729]","[95.18987341772151, 4.810126582278481]","[69.63806970509383, 76.47058823529412]","[70.74468085106383, 78.94736842105263]"
V10,"[0, 0.7, 1]",0.4682142497989279,"[95.18072289156626, 4.819277108433735]","[95.44303797468355, 4.556962025316456]","[69.62025316455697, 77.63157894736842]","[70.82228116710876, 77.77777777777779]"
V10,"[0, 0.75, 1]",1.6365477501929737,"[97.08306911857957, 2.9169308814204187]","[97.72151898734177, 2.278481012658228]","[69.56237753102548, 84.78260869565217]","[70.72538860103627, 88.88888888888889]"
V10,"[0, 0.8, 1]",4.824753161429213,"[97.8440076093849, 2.155992390615092]","[98.22784810126582, 1.7721518987341773]","[69.73428386260532, 82.35294117647058]","[70.61855670103093, 100.0]"
V10,"[0, 0.85, 1]",4.351617380055758,"[98.03424223208624, 1.9657577679137603]","[98.22784810126582, 1.7721518987341773]","[69.72833117723157, 83.87096774193549]","[70.61855670103093, 100.0]"
V10,"[0, 0.9, 1]",0.28322483805976617,"[100.0, 0]","[100.0, 0]","[70.00634115409005, 0]","[71.13924050632912, 0]"
V11,"[0, 0.45, 1]",0.8119737908740277,"[38.807863031071655, 61.192136968928345]","[39.24050632911392, 60.75949367088608]","[67.64705882352942, 71.50259067357513]","[69.03225806451613, 72.5]"
V11,"[0, 0.5, 1]",1.0045646344674868,"[40.77362079898542, 59.22637920101459]","[41.51898734177215, 58.48101265822785]","[67.65163297045102, 71.62740899357601]","[69.51219512195121, 72.2943722943723]"
V11,"[0, 0.55, 1]",1.5769109803656924,"[43.69055168040583, 56.30944831959417]","[45.063291139240505, 54.936708860759495]","[68.21480406386067, 71.3963963963964]","[71.34831460674157, 70.96774193548387]"
V11,"[0, 0.6, 1]",1.6718218542623493,"[47.24159797083069, 52.758402029169304]","[49.36708860759494, 50.63291139240506]","[67.91946308724832, 71.875]","[69.23076923076923, 73.0]"
V11,"[0, 0.65, 1]",1.8557392150134753,"[52.3145212428662, 47.6854787571338]","[54.68354430379747, 45.31645569620253]","[67.75757575757576, 72.47340425531915]","[68.05555555555556, 74.86033519553072]"
V11,"[0, 0.7, 1]",2.181851678700225,"[57.0703868103995, 42.92961318960051]","[60.0, 40.0]","[68.88888888888889, 71.49187592319055]","[69.19831223628692, 74.0506329113924]"
V11,"[0, 0.75, 1]",2.2288178966494048,"[63.60177552314521, 36.39822447685479]","[65.82278481012658, 34.177215189873415]","[69.19242273180458, 71.42857142857143]","[68.84615384615384, 75.55555555555556]"
V11,"[0, 0.8, 1]",1.0127347645722686,"[70.19657577679138, 29.803424223208623]","[70.63291139240506, 29.367088607594937]","[69.01535682023487, 72.3404255319149]","[69.53405017921148, 75.0]"
V11,"[0, 0.85, 1]",1.4634370954557987,"[77.99619530754597, 22.003804692454025]","[76.9620253164557, 23.037974683544306]","[69.91869918699187, 70.31700288184439]","[70.39473684210526, 73.62637362637363]"
V11,"[0, 0.9, 1]",1.8282752318671927,"[88.96639188332276, 11.033608116677234]","[88.35443037974684, 11.645569620253164]","[70.20669992872416, 68.39080459770115]","[70.77363896848138, 73.91304347826086]"
V12,"[0, 0.45, 1]",3.0304838728768138,"[28.09131261889664, 71.90868738110336]","[32.40506329113924, 67.59493670886076]","[69.97742663656885, 70.01763668430335]","[68.75, 72.28464419475655]"
V12,"[0, 0.5, 1]",2.2416152590006924,"[30.183893468611288, 69.81610653138871]","[33.67088607594937, 66.32911392405063]","[69.32773109243698, 70.29972752043598]","[69.17293233082707, 72.13740458015268]"
V12,"[0, 0.55, 1]",1.9105836013424957,"[31.57894736842105, 68.42105263157895]","[34.43037974683544, 65.56962025316456]","[69.47791164658635, 70.25023169601484]","[69.85294117647058, 71.81467181467181]"
V12,"[0, 0.6, 1]",1.6932478111434275,"[33.29105897273304, 66.70894102726696]","[35.44303797468354, 64.55696202531645]","[70.47619047619048, 69.77186311787072]","[70.0, 71.76470588235294]"
V12,"[0, 0.65, 1]",1.6752292203939927,"[34.93975903614458, 65.06024096385542]","[36.9620253164557, 63.037974683544306]","[70.41742286751361, 69.78557504873294]","[69.86301369863014, 71.8875502008032]"
V12,"[0, 0.7, 1]",1.5600920598036936,"[36.33481293595434, 63.66518706404566]","[37.721518987341774, 62.278481012658226]","[70.15706806282722, 69.9203187250996]","[69.12751677852349, 72.35772357723577]"
V12,"[0, 0.75, 1]",1.3465605944895174,"[38.55421686746988, 61.44578313253012]","[39.49367088607595, 60.50632911392405]","[69.57236842105263, 70.27863777089783]","[68.58974358974359, 72.80334728033473]"
V12,"[0, 0.8, 1]",0.8088872579085109,"[42.67596702599874, 57.32403297400127]","[43.291139240506325, 56.708860759493675]","[70.1337295690936, 69.91150442477876]","[70.17543859649122, 71.875]"
V12,"[0, 0.85, 1]",1.657898565034312,"[46.480659480025366, 53.519340519974634]","[48.35443037974684, 51.64556962025316]","[70.53206002728513, 69.54976303317537]","[70.15706806282722, 72.05882352941177]"
V12,"[0, 0.9, 1]",2.2836536198521227,"[54.470513633481296, 45.529486366518704]","[57.72151898734177, 42.278481012658226]","[70.081490104773, 69.91643454038997]","[70.17543859649122, 72.45508982035929]"
V13,"[0, 0.45, 1]",2.3073447039343575,"[92.83449587824984, 7.165504121750159]","[94.9367088607595, 5.063291139240507]","[69.53551912568307, 76.10619469026548]","[70.66666666666667, 80.0]"
V13,"[0, 0.5, 1]",1.8220304517566699,"[93.02473050095116, 6.975269499048826]","[95.18987341772151, 4.810126582278481]","[69.46148602590321, 77.27272727272727]","[70.74468085106383, 78.94736842105263]"
